hi,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type","Asset Name",Category,Course
71,No,No,No,No,No,No,Yes,DMM01147,0,"Aputure Light Dome II","Lighting Accessories",FPBE
72,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01109,0,"Aputure Light Storm 600D Pro LED Light",Lighting,
73,No,No,No,No,No,No,Yes,DMM01145,0,"Aputure LS120D LED Spotlight",Lighting,FPBE
74,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01103,0,"Aputure MC 4-Light Travel Kit",Lighting,
75,No,No,No,No,No,No,Yes,DMM01146,0,"Aputure Space Light",Lighting,FPBE
76,No,No,No,No,No,No,Yes,"DMM00805, DMM00806, DMM00807, DMM00808, DMM00809, DMM00810, DMM00811",0,"Arduino kit","Computer Interfaces & Peripherals",
77,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00934, DMM00959",0,"Arri 2000W Head Kit",Lighting,
78,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00519,0,"Arri 600W 3 head kit",Lighting,
79,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00520,0,"Arri 650W 3 head kit",Lighting,
80,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00933,0,"Arri 800W 3 Head Kit",Lighting,
81,No,Yes,No,Yes,Yes,Yes,Yes,"DMM00847, DMM00848",0,"Arri Follow Focus Kit","Camera and Lens Accessories",
82,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00635, DMM01079",0,"Arri Lighting Kit",Lighting,
83,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00636, DMM00637",0,"Arri Reflector - Medium ","Lighting Accessories",
84,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00980, DMM00989, DMM00981, DMM00982, DMM00983, DMM00984, DMM00985, DMM00986, DMM00987, DMM00988",0,"Arri Sandbag No 1",Stock,
85,No,No,No,No,No,No,Yes,DMM00142,0,"ART 24-way mic splitter kit",Splitters,
86,No,No,No,No,No,No,Yes,DMM01034,0,"Arturia MicroFreak Vocoder","Musical Instruments, Computer Interfaces & Peripherals","UOS / CMT"
87,No,No,No,No,No,No,Yes,DMM01118,0,"Ashdown - Evo II 500 Bass amp","Monitors and Amps, Performance equipment","UOS / Music"
88,No,No,No,No,No,No,Yes,DMM01148,0,"Asus ZenPad 10 Android Tablet","Computer Interfaces & Peripherals",FPBE
89,No,No,No,Yes,Yes,Yes,No,DMM01134,1,"Atmos Room (14 AC 01)","Media Labs",
90,No,No,No,No,No,No,Yes,DMM01149,0,"Atomos 19M Calibration Cable for X-Rite i1","TV Studio Equipment",FPBE
91,No,No,No,No,No,No,Yes,DMM01150,0,"Atomos Shogun Flame","Portable Recorders, TV Studio Equipment",FPBE
92,No,Yes,No,Yes,Yes,Yes,Yes,DMM00375,0,"Atomos Shogun","Portable Recorders",
93,No,No,No,No,No,No,Yes,DMM01151,0,"Atomos Sumo 19M + Sunhood","Portable Recorders, TV Studio Equipment",FPBE
94,Yes,Yes,No,Yes,Yes,Yes,Yes,AudioLab,1,"Audio Lab (01 AC 02)",Other,
95,No,No,No,No,No,No,Yes,DMM00722,0,"Audio-Technics AT803","TV Studio Microphones",
96,No,No,No,No,No,No,Yes,DMM00723,0,"Audio-Technics AT803b","TV Studio Microphones",
97,No,No,No,No,No,No,Yes,DMM00724,0,"Audio-Technics AT8505","TV Studio Microphones",
98,No,No,No,No,No,No,Yes,DMM00873,0,"Audix D6",Microphones,Ton
99,No,No,No,No,No,No,No,DMM00756,0,"Baby Grand Kawai Piano (PA1)",Stock,
100,No,No,No,No,No,No,Yes,DMM01152,0,"Barco ClickShare CSE-200 Wireless Presentation System","Computer Interfaces & Peripherals",FPBE
101,No,No,No,No,No,No,Yes,DMM00863,0,"Baritone Sax","Musical Instruments",
102,No,No,No,No,No,No,Yes,DMM00775,0,"Bass Clarinet","Musical Instruments",
103,No,No,No,No,No,No,Yes,DMM01153,0,"Benro HH75AV Hi Hat Tripod & Head","Tripods & Mounts",FPBE
104,No,No,No,No,No,No,No,DMM00163,0,"Beyerdynamic DT 150 no. 1","Headphones and Headphone amps",
105,No,No,No,No,No,No,No,DMM00164,0,"Beyerdynamic DT 150 no. 2","Headphones and Headphone amps",
106,No,No,No,No,No,No,No,DMM00165,0,"Beyerdynamic DT 150 no. 3","Headphones and Headphone amps",
107,No,Yes,No,Yes,Yes,Yes,Yes,DMM01086,0,"Beyerdynamic DT770 Headphones No. 1","Headphones and Headphone amps",
108,No,Yes,No,Yes,Yes,Yes,Yes,DMM01087,0,"Beyerdynamic DT770 Headphones No. 2","Headphones and Headphone amps",
109,No,No,No,No,No,No,Yes,DMM01124,0,"Beyerdynamic M160 No 1","Microphones, Type: Ribbon, Directivity: Hyper, Brand: Beyerdynamic",
110,No,No,No,No,No,No,Yes,DMM01125,0,"Beyerdynamic M160 No 2","Microphones, Type: Ribbon, Directivity: Hyper, Brand: Beyerdynamic",
111,No,No,No,No,No,No,Yes,DMM00040,0,"Beyerdynamic M 88 TG No. 1","Microphones, Directivity: Hyper, Type: Dynamic, Brand: Beyerdynamic",
112,No,No,No,No,No,No,No,DMM00041,0,"Beyerdynamic M 88 TG No. 2","Microphones, Directivity: Hyper, Type: Dynamic, Brand: Beyerdynamic",
